,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
alpha,-3.462,0.529,-4.425,-2.438,0.012,0.008,2109.0,2109.0,2114.0,2307.0,1.0
beta,0.755,0.085,0.588,0.909,0.002,0.001,2108.0,2108.0,2113.0,2035.0,1.0
sigma,1.151,0.084,0.999,1.314,0.002,0.001,3142.0,3142.0,3062.0,2301.0,1.0
