,gauge_id,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean
0,1013500,1.1662571751083473,0.5434374665902221,1.5282185353897602,0.5852259557795079,1.84532416164806,0.24110612647571103,6.37302139711473,6.1,8.71428571428571,41.35,20.170731707317103,0.0,207.25
1,1022500,1.4915355318389287,0.6022689294829909,1.77627980351081,0.5544784479304089,1.70278237133413,0.20473435527604997,7.12304944397925,3.9,2.29411764705882,65.15,17.1447368421053,0.0,166.25
2,1030500,1.2492763155318134,0.555858982560286,1.8711104060563202,0.508440712580478,1.37750520315631,0.107149196809004,6.85488650393008,12.25,7.205882352941179,89.25,19.402173913043498,0.0,184.9
3,1031500,1.3935075450907657,0.5762892791607509,1.49401920331253,0.44509052601204796,1.64869298694367,0.11134535348053802,8.01050285897128,18.9,3.28695652173913,94.8,14.697674418604699,0.0,181.0
4,1047000,1.4982671043003868,0.6568684349794399,1.41593871068099,0.473464930849723,1.5102375492601698,0.19645805172705103,8.09514821362971,14.95,2.57758620689655,71.55,12.776785714285701,0.0,184.8
5,1052500,1.650803672258,0.6446518199544921,1.30106242481155,0.459699942400979,1.02555547613101,0.30596536445819,8.66901865964871,14.1,2.51785714285714,58.9,7.3167701863354,0.0,197.2
6,1054200,1.8749991208230192,0.671662858004331,1.31964515365059,0.43704981753740796,1.3578082898930999,0.256851228674037,10.0956051354616,16.05,1.88823529411765,82.2,9.96363636363636,0.0,183.45
7,1055000,1.5648646335402228,0.6524836267999721,1.3493118339144798,0.43813165837399,1.366587125286,0.18546495118667103,8.441583672959629,16.25,2.05696202531646,83.6,8.94117647058824,0.0,186.05
8,1057000,1.2516395475940378,0.510727007805829,1.5332322341056899,0.47467747080445605,1.28068087951381,0.0781694470346097,6.866096675597349,13.85,2.42982456140351,82.95,13.825,0.0,178.05
9,1073000,1.169029810474533,0.486206602514752,1.78010735061656,0.501891678728164,2.27878874265298,0.0658152271358498,5.78423611407704,7.85,2.2112676056338,96.0,12.467532467532498,0.0,168.75
10,1078000,1.2051395977709132,0.492803378546533,1.4994912962233702,0.491188699409706,1.52665366269292,0.14517125416364698,6.616289886730889,12.05,3.0506329113923996,69.55,12.419642857142902,0.0,180.7
11,1118300,1.461687088380282,0.546404882602351,2.2178691332731404,0.5591720333761171,0.38285720916416793,0.0590389851725097,6.61236633932108,3.5,1.3725490196078403,89.5,11.776315789473697,0.0,155.4
12,1121000,1.3441560377990953,0.5264935781570801,1.94004870177334,0.5363064036140001,1.16604444020309,0.0801014057617401,6.025018781209151,5.9,1.475,85.0,9.883720930232561,0.0,156.35
13,1123000,1.1924635109217925,0.45429529711326005,1.8089075510808998,0.585541652897871,0.963139983871497,0.216844846040934,5.0282862850071695,4.55,1.4,58.1,9.1496062992126,0.0,159.1
14,1134500,1.4259984497341427,0.5991727548869351,1.40816574205791,0.48759831561720796,1.1078746454142099,0.238225466947303,7.09661127853544,9.05,2.1547619047619,46.15,6.88805970149254,0.0,187.55
15,1137500,1.6332041696035375,0.5972261321409089,1.3905436092212502,0.541710336585158,1.40660087711474,0.48171472128504,7.50190392614569,8.25,1.61764705882353,17.3,7.0612244897959195,0.0,189.15
16,1139000,1.1651028215766088,0.541536747426106,1.5071050052539199,0.572169832209705,2.16296224577182,0.268166848251604,5.343472754050481,4.15,1.69387755102041,35.15,6.63207547169811,0.0,183.4
17,1139800,1.2434937627813973,0.548410572565566,1.54356932845705,0.607173225575111,1.74761515762688,0.24680367345448398,5.57990913897095,2.15,1.8695652173913,37.25,7.16346153846154,0.0,190.2
18,1142500,1.1826354210916654,0.519815262322349,1.46622293745572,0.5717880874094959,1.5064974168220702,0.178647356374502,5.35942069123505,5.75,2.1296296296296298,41.5,9.325842696629211,0.0,181.15
19,1144000,1.275803023845487,0.543359055776503,1.51948227493782,0.5627489268563169,1.7290262095036,0.237791661970178,5.983056874169179,5.8,1.8125,42.0,10.120481927710802,0.0,181.5
20,1162500,1.2601031087316936,0.48522919163043604,1.8684614296564699,0.5085751060528039,1.1536143943958999,0.0885905447995945,6.34898904397094,6.45,2.6326530612244903,85.15,14.191666666666698,0.0,168.15
21,1169000,1.5353952839440144,0.5704840168842379,1.4944612371343002,0.511888180404709,1.08151278029793,0.212155354279292,7.446652935203169,8.25,1.6666666666666698,65.2,9.381294964028779,0.0,174.05
22,1170100,1.4906423222658767,0.557636460056619,1.59536300372195,0.536996501003029,1.43391535358896,0.21037942816196803,7.2032086816326,6.7,1.69620253164557,62.15,9.20740740740741,0.0,174.25
23,1181000,1.4766845839484246,0.563934955144295,1.48596554580161,0.49121197261542604,1.2642585705382399,0.150713072621076,7.29250320722512,9.05,1.5603448275862102,73.8,11.441860465116301,0.0,168.0
24,1187300,1.3743158756487,0.506828688234216,1.5794196484333403,0.444722930323781,0.666679500071313,0.0635238457672166,6.85150050774979,11.8,1.61643835616438,92.3,11.395061728395099,0.0,158.65
25,1195100,1.1135430768307644,0.440559883929016,2.12478168868794,0.517895405408521,1.1836088818659098,0.0412158953091105,4.945907437093259,6.25,1.5432098765432098,102.1,12.082840236686401,0.0016427104722792599,155.25
26,1333000,1.4194850046911713,0.5582431775775101,1.5661502267206397,0.5528072395244089,1.5802110955801,0.21813262709957199,6.63123186382699,4.6,1.5081967213114802,50.6,10.019801980198,0.0,165.9
27,1350000,1.446547934239277,0.5446070988194149,1.63109206304951,0.454634129444089,1.5642643745904299,0.0918699083241456,7.189818912324441,11.35,1.89166666666667,95.65,16.2118644067797,0.0,160.2
28,1350080,1.0532963163448903,0.43935161214599106,1.9015959869947,0.492301447944427,1.33865966132431,0.0700355595099847,5.07174176784804,9.05,1.9673913043478302,106.7,19.577981651376103,0.0,169.55
29,1350140,1.0293241244120215,0.428298151238039,1.8414684687665301,0.45914675503500296,1.1792267411951,0.0335453685404314,5.14362317619949,11.1,2.07476635514019,107.2,13.2345679012346,0.0,166.45
30,1365000,1.866398513678788,0.6456731363899699,1.56080308910702,0.554875052263605,1.30994604639525,0.270285537823007,8.00536620206686,5.3,1.55882352941176,47.6,10.8181818181818,0.0,165.75
31,1411300,0.815541159804043,0.37417881137706704,1.33729271478336,0.724230436580098,1.0503740950193499,0.339288086246052,3.02274840473755,0.95,1.9,3.9,4.875,0.0,175.15
32,1413500,1.344842041044359,0.511237169194687,1.79048501279787,0.530017057050457,1.2125955323862398,0.132683889525165,5.999619352442241,5.5,2.0754716981132098,70.0,17.2839506172839,0.0,162.5
33,1414500,1.537190220286373,0.562712057263301,1.7463630339221798,0.530299153727381,1.16106306057331,0.163231572472612,6.71147488678085,5.45,1.703125,59.55,13.0879120879121,0.0,159.65
34,1415000,1.2422550686986742,0.47967646775659295,1.7699913743003202,0.509840195556551,1.2626695627399198,0.10285731594039099,5.65715237672151,5.6,1.93103448275862,76.35,11.5681818181818,0.0,160.85
35,1423000,1.263402120963649,0.49697810583437896,1.80698622111887,0.522809848365314,1.4796748667675803,0.10529882652301499,5.74874674531055,5.15,1.9074074074074099,78.65,18.0804597701149,0.0,162.2
36,1434025,1.933133718154402,0.634761838781561,1.3568833751884999,0.49375812380148204,0.738849584355461,0.24465755455488,9.08007418966565,8.3,1.41880341880342,51.65,9.93269230769231,0.0,163.85
37,1435000,2.0366911472329465,0.687251847880788,1.31835989211088,0.540275165102473,1.2464842534082,0.38303107810401,8.71041044280972,6.15,1.41379310344828,39.3,11.3913043478261,0.0,165.3
38,1439500,1.3915322746253376,0.550426939143426,1.6737470240910501,0.584467109658076,1.1605366728306499,0.119977223693056,5.8548885162211395,3.25,2.32142857142857,56.75,15.9859154929577,0.0,156.1
39,1440000,1.2334781597803202,0.5062379714626141,1.64802817461977,0.589172275759407,0.95312010851275,0.16045987956735502,5.21932226447269,3.6,1.6363636363636398,56.4,15.887323943662,0.0,159.85
40,1440400,1.4201177226046882,0.551243771791167,1.58784621123023,0.5625869373211999,1.1471470393443701,0.195491453899225,6.13005344726855,4.45,1.8541666666666698,59.85,14.9625,0.0,156.1
41,1451800,1.2079576957950198,0.502370836246927,1.5816009803778797,0.477158376006432,1.5483971816336102,0.135440577904351,5.903912425139099,10.0,2.0,73.35,9.16875,0.0,153.5
42,1466500,0.5856576827819358,0.241045546354964,0.9690167345409509,0.837326882474799,0.22554150898468497,0.39563582242146,1.6371137479508702,0.2,2.0,0.0,0.0,0.0,181.15
43,1484100,0.6842150487700587,0.30014186520952196,1.4048175927755702,0.708418601766662,1.30301510558499,0.15223136727859196,2.36502302736384,2.4,1.45454545454545,27.85,13.925,0.0,175.6
44,1485500,0.6298741719713576,0.28318465927909997,1.8265145406649599,0.476673304898002,1.7434015901509698,0.0345708004175329,3.26694063945685,12.35,2.80681818181818,106.85,15.2642857142857,0.0,160.05
45,1486000,0.8610799509781513,0.383131752901683,1.77818463589378,0.5205502011657379,1.51786389019618,0.0831573083460236,4.15786541730118,8.4,1.82608695652174,92.55,19.082474226804102,0.0,161.65
46,1487000,0.8954498536047706,0.39071341206459,1.66776481160079,0.744016867905129,1.31744816778839,0.274148052166506,3.06784725043471,0.8,1.33333333333333,12.25,6.80555555555556,0.0,173.35
47,1491000,0.8439114947931325,0.37200947242089505,1.6930927793466397,0.5565397011086539,1.3423253075561101,0.100530429210333,3.92906427497051,6.3,2.0,77.95,14.045045045044999,0.0,173.05
48,1510000,1.3041543879025161,0.5487866867114579,1.7625271231922701,0.504188789855325,1.32172099343214,0.127761849946411,6.311435387352709,9.2,2.02197802197802,79.1,16.6526315789474,0.0,164.0
49,1516500,0.7064052158595223,0.323373524799016,1.6247100806191102,0.41685438127114105,1.20138366307422,0.0233155229880762,3.57504685817169,15.75,2.14285714285714,122.15,14.121387283236999,0.0,158.45
50,1518862,0.8225369813970762,0.395290298333401,1.74560453254043,0.42946619540356895,1.64372105819724,0.0345162639490019,4.2862924140306005,16.25,2.32142857142857,120.15,13.890173410404598,0.0,163.65
51,1532000,0.9250605491077967,0.42181997494057394,1.5690267488535,0.436231935738121,1.6763049730537298,0.0388667812413428,4.63751367084204,14.35,2.15789473684211,101.2,13.6756756756757,0.0,150.8
52,1539000,1.2207154924727361,0.519507507471259,1.6869765430393002,0.518896819455807,1.40648448631555,0.12899098746801801,5.50129130336571,6.35,1.9242424242424199,67.55,14.072916666666698,0.0,154.25
53,1542810,1.0976544188388153,0.46725839419462706,1.667859602496,0.38646635431494397,1.41962584997273,0.0413151523844511,6.28708840632952,18.55,2.34810126582278,119.45,14.6564417177914,0.0,157.8
54,1543000,1.1311079830455144,0.48611660636388704,1.7344986483273999,0.448967038468495,1.9378036707678201,0.0589536276035855,5.96471996930395,11.6,2.20952380952381,96.6,12.1509433962264,0.0,159.8
55,1543500,1.119167528267037,0.47831678852603704,1.7966909463052698,0.482957364176171,2.05031436983567,0.0619121498260637,5.679407877377571,8.45,2.13924050632911,89.8,15.7543859649123,0.0,163.75
